gene_id	gene_name	description	gene_biotype
ENSMUSG00000051951	Xkr4	X-linked Kx blood group related 4 [Source:MGI Symbol;Acc:MGI:3528744]	protein_coding
ENSMUSG00000089699	Gm1992	predicted gene 1992 [Source:MGI Symbol;Acc:MGI:3780162]	lncRNA
ENSMUSG00000102331	Gm19938	predicted gene, 19938 [Source:MGI Symbol;Acc:MGI:5012123]	lncRNA
ENSMUSG00000102343	Gm37381	predicted gene, 37381 [Source:MGI Symbol;Acc:MGI:5610609]	lncRNA
ENSMUSG00000025900	Rp1	retinitis pigmentosa 1 (human) [Source:MGI Symbol;Acc:MGI:1341105]	protein_coding
ENSMUSG00000025902	Sox17	SRY (sex determining region Y)-box 17 [Source:MGI Symbol;Acc:MGI:107543]	protein_coding
ENSMUSG00000104238	Gm37587	predicted gene, 37587 [Source:MGI Symbol;Acc:MGI:5610815]	lncRNA
ENSMUSG00000104328	Gm37323	predicted gene, 37323 [Source:MGI Symbol;Acc:MGI:5610551]	lncRNA
ENSMUSG00000033845	Mrpl15	mitochondrial ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1351639]	protein_coding
ENSMUSG00000025903	Lypla1	lysophospholipase 1 [Source:MGI Symbol;Acc:MGI:1344588]	protein_coding
ENSMUSG00000033813	Tcea1	transcription elongation factor A (SII) 1 [Source:MGI Symbol;Acc:MGI:1196624]	protein_coding
ENSMUSG00000002459	Rgs20	regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]	protein_coding
ENSMUSG00000085623	Gm16041	predicted gene 16041 [Source:MGI Symbol;Acc:MGI:3801909]	lncRNA
ENSMUSG00000033793	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]	protein_coding
ENSMUSG00000025905	Oprk1	opioid receptor, kappa 1 [Source:MGI Symbol;Acc:MGI:97439]	protein_coding
ENSMUSG00000033774	Npbwr1	neuropeptides B/W receptor 1 [Source:MGI Symbol;Acc:MGI:891989]	protein_coding
ENSMUSG00000025907	Rb1cc1	RB1-inducible coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1341850]	protein_coding
ENSMUSG00000090031	4732440D04Rik	RIKEN cDNA 4732440D04 gene [Source:MGI Symbol;Acc:MGI:3604103]	lncRNA
ENSMUSG00000087247	Alkal1	ALK and LTK ligand 1 [Source:MGI Symbol;Acc:MGI:3645495]	protein_coding
ENSMUSG00000033740	St18	suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700]	protein_coding
ENSMUSG00000051285	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]	protein_coding
ENSMUSG00000097797	Gm26901	predicted gene, 26901 [Source:MGI Symbol;Acc:MGI:5477395]	lncRNA
ENSMUSG00000103067	Gm30414	predicted gene, 30414 [Source:MGI Symbol;Acc:MGI:5589573]	lncRNA
ENSMUSG00000025909	Sntg1	syntrophin, gamma 1 [Source:MGI Symbol;Acc:MGI:1918346]	protein_coding
ENSMUSG00000061024	Rrs1	ribosome biogenesis regulator 1 [Source:MGI Symbol;Acc:MGI:1929721]	protein_coding
ENSMUSG00000025911	Adhfe1	alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]	protein_coding
ENSMUSG00000079671	2610203C22Rik	RIKEN cDNA 2610203C22 gene [Source:MGI Symbol;Acc:MGI:1919731]	lncRNA
ENSMUSG00000067879	Vxn	vexin [Source:MGI Symbol;Acc:MGI:1924232]	protein_coding
ENSMUSG00000099827	Gm29520	predicted gene 29520 [Source:MGI Symbol;Acc:MGI:5580226]	lncRNA
ENSMUSG00000025912	Mybl1	myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925]	protein_coding
ENSMUSG00000045210	Vcpip1	valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925]	protein_coding
